entrezid	EOC1005_post-NACT	EOC1005_treatment-naive	EOC136_post-NACT	EOC136_treatment-naive	EOC153_post-NACT	EOC153_treatment-naive	EOC227_post-NACT	EOC227_treatment-naive	EOC3_post-NACT	EOC3_treatment-naive	EOC349_post-NACT	EOC349_treatment-naive	EOC372_post-NACT	EOC372_treatment-naive	EOC443_post-NACT	EOC443_treatment-naive	EOC540_post-NACT	EOC540_treatment-naive	EOC733_post-NACT	EOC733_treatment-naive	EOC87_post-NACT	EOC87_treatment-naive
643837	2.06514625971427	2.86242318693495	2.75831559738084	3.3685935584058	2.90213191345834	2.61917030730855	5.02865825122257	3.66238582186298	3.10971776014526	2.97164797378714	1.59809764090315	2.37450360201791	3.29705291960301	3.45888063579074	3.05404376420672	2.89329368477751	4.06921979814961	3.60038000597219	2.89986261072589	3.426811939082	4.14550133499261	3.61484852696156
26155	5.64636782470687	5.4269654818807	5.34806255247835	6.19292839771625	6.10755401256003	5.52404628969999	7.07024815530039	6.94181471635643	5.84766061502349	5.96839816602601	4.94005368830303	5.42618967061486	5.72661872495382	5.92748569439367	5.6794616613858	6.24735856320308	5.07896498679361	5.97429770448816	6.3350941050496	6.55753770531232	6.48380612761958	6.49860592899977
84069	1.43165031789756	2.00890898862898	2.64851616456941	4.14455450271044	3.10289041881701	1.54393846024801	3.74433736367105	2.47648726202897	2.75149668802918	0.406102296346542	2.32643974390696	0.951693329659473	2.18555701312624	-0.440350092951578	2.7056671087951	1.13533434344127	3.14446925406069	2.27440904713537	3.32691060697155	2.13965421743267	1.16896933963774	2.6083269258105
57801	5.86905896222036	6.79510910596769	5.9890973051269	4.78495814403119	8.46838913718864	6.58698523610768	6.32260689859591	4.12434016214408	5.25627959890643	3.41020006109962	6.87301255586033	4.12476629880771	6.55753770531232	7.85588722727898	4.26805353102802	5.51586483113012	6.2286116652439	6.88211729591918	3.44136928238683	4.13933565153968	5.25837922635061	4.44076093035581
9636	6.97740523635492	8.17255150667601	5.69661279385	8.69143245062284	7.82764127682048	8.84016007926365	6.79679126308073	6.18277525906016	8.03790978139336	6.75074774910582	6.43396284839087	7.18183793525117	6.94961576293886	6.63349987323465	5.73425730671771	7.15104540534313	5.44040275296853	7.05560950963896	6.27559760567285	7.27492328689129	7.39351990244527	7.4999401857023
375790	4.96750364250935	4.6031601217312	3.90268630304274	3.59854130376886	5.11800526389674	5.37823805819239	5.7799741010742	5.65946887972948	4.09333964476366	4.82251670341672	5.6312666414844	6.01196557121575	4.76448506572411	5.71364621263135	5.67185698318735	6.10755401256003	4.86240203474974	4.37311241913552	6.00166459398369	6.20266658048749	4.55751607596489	4.57154015150879
401934	2.67181124135889	0.188362898742146	4.47129164891049	5.1520738981725	5.81113167362265	5.0822476672689	4.17118612113395	2.27440904713537	5.79903352038687	3.18160314020459	2.82744963706316	4.45296960484071	2.33955479384732	2.39581158648624	4.17547189199347	2.72329200793239	4.77863048023975	3.02194903587125	2.62056406707049	3.23223447018862	4.01617223859302	3.99312760600996
54991	0.671857894976562	1.9284256569934	2.48445518964697	2.56281770593193	2.54244852508885	2.97164797378714	3.15611908994675	3.40972797478648	1.17502706137104	1.75059879374035	2.64145208545391	2.15208827488391	2.07773964501767	2.29742747590023	2.43332318205489	1.54963203585344	2.41802295387603	2.55367589624969	2.59412860178908	2.65189172372403	1.85292632477299	3.92302249089826
8784	0.180229243984608	-0.334882416370442	0.748431838890974	1.34688763205953	1.12930146917877	1.69374651007068	3.93904932707931	0.485417515290222	2.00555462297797	0.518235811324899	2.58088924738333	1.44269262463461	1.37376284332894	0.876289636313664	0.622895187103035	-0.796075508874642	2.51971625540019	2.31908545152211	0.589910808479812	0.00570068457223005	-0.751596933555366	0.703852208844774
51150	6.35194833411716	6.2543173464801	6.53599369647346	6.16076223470945	6.23529053185341	6.33397113185478	7.62725495604301	7.56977396161715	6.36762403526453	6.66099585028486	5.95901199358295	6.30406231239706	7.01386188299698	6.70390865900798	6.87301255586033	6.19734427592034	6.02249599030598	6.26401531949487	6.65661754720873	6.92622141849304	6.1816739347999	6.45219995848933
126792	4.30286103241491	5.3658133101917	4.9144163324123	4.35780603592665	4.59668537755583	4.78551081395713	6.27897981300956	6.28135534104317	3.40877160961993	2.63536617830913	4.19959185586017	4.71253846162134	4.31660625437717	3.37664953290894	4.28215350939984	3.19003941683722	5.29660239497905	5.10463285215828	5.66549446101054	4.81788744101881	3.89511905022011	4.51042594875381
